population	height_band_16	slope_band_0_10_25_40_55_90	block	count
side_south	0	-1	minecraft:tuff	10
side_south	0	-1	minecraft:white_concrete	1
side_south	1	-1	minecraft:acacia_wood	339
side_south	1	-1	minecraft:andesite	5
side_south	1	-1	minecraft:basalt	82
side_south	1	-1	minecraft:blackstone	50
side_south	1	-1	minecraft:calcite	6
side_south	1	-1	minecraft:cobblestone	298
side_south	1	-1	minecraft:cyan_terracotta	346
side_south	1	-1	minecraft:diamond_block	80
side_south	1	-1	minecraft:dirt	39
side_south	1	-1	minecraft:grass_block	645
side_south	1	-1	minecraft:light_gray_wool	16
side_south	1	-1	minecraft:moss_block	573
